ID,listing_date,type,category,Bedrooms,bathrooms,balcony,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,view,frontage,rent_price_usd,final_rent_price_usd
122,2024-09-05,apartment,rent,3,2,,200,1,new,half,2023,suburb,1,dawoodi,mansour,north,,,1450
123,2024-09-05,apartment,rent,2,1,,162,1,new,no,2023,suburb,0,,mansour,,,900,900
124,2024-09-01,apartment,rent,2,1,1,150,1,good,no,2021,suburb,1,mohandeseen,mansour,north,,,773.3333333
125,2024-09-01,apartment,rent,1,1,,72,1,good,no,2021,suburb,0,mohandeseen,mansour,north,,,533.3333333
126,2024-09-10,adu,rent,3,1,,200,1,new,no,2021,suburb,1,beiji,mansour,,,,900
127,2024-08-29,apartment,rent,1,1,,90,1,good,fully,2023,suburb,0,,mansour,,,,870
128,2024-08-29,apartment,rent,2,1,,100,1,good,half,2021,suburb,0,dawoodi,mansour,north,,,600
129,2024-08-28,apartment,rent,3,2,1,187,1,new,half,2023,urban,7,mansour city,mansour,north,,,966.6666667
130,2024-08-28,apartment,rent,,1,1,50,1,new,no,2023,suburb,3,dawoodi,mansour,,,,483.3333333
131,2024-08-28,apartment,rent,2,1,1,120,1,new,no,2023,suburb,1,dawoodi,mansour,north,,,900
132,2024-08-28,apartment,rent,2,1,,140,1,new,no,2023,suburb,1,,mansour,north,,,666.6666667
133,2024-08-22,apartment,rent,1,1,,50,1,,no,2021,suburb,0,zohuur,mansour,east,,,733.3333333
134,2024-08-20,apartment,rent,2,1,,100,1,new,no,2023,suburb,0,mahalle 607,mansour,,,,666.7333333
135,2024-08-18,apartment,rent,2,1,,120,1,good,no,2021,suburb,0,dawoodi,mansour,north,,,733.3333333
136,2024-08-28,apartment,rent,2,2,,150,3,new,half,2021,suburb,1,mutanabi,mansour,north,,,1300
137,2024-08-17,apartment,rent,2,1,2,100,1,good,no,2017,suburb,1,mutanabi,mansour,west,,,666.6666667
138,2024-08-28,adu,rent,2,2,,150,2,good,no,2021,suburb,,dawoodi,mansour,north,,,1300
139,2024-09-10,adu,rent,3,3,,80,,new,no,2021,suburb,,alarabi,mansour,north,,,1000
140,2024-09-10,house,rent,5,5,,360,,good,no,2004,suburb,,mutanabi,mansour,west,,,1866.666667
141,2024-09-10,house,rent,3,2,,300,2,new,no,2023,suburb,,,mansour,north,,,1546.666667
142,2024-09-05,adu,rent,2,2,1,150,2,new,no,2021,suburb,,dawoodi,mansour,north,,,1300
143,2024-08-23,house,rent,5,3,1,210,2,good,no,2009,suburb,,alarabi,mansour,,,,2000
144,2024-08-23,house,rent,3,3,1,200,2,new,no,2021,suburb,,,mansour,,,,1333.333333
145,2024-08-23,adu,rent,2,2,,65,2,new,no,2023,suburb,,beiji,mansour,north,,,666.6666667
146,2024-08-21,house,rent,4,3,1,300,2,good,no,2021,suburb,,mutanabi,mansour,,,,2900
147,2024-08-20,house,rent,3,3,1,150,3,good,no,2021,suburb,,,mansour,west,,,773.3333333
148,,apartment,rent,2,1,,100,,good,no,,suburb,,,mansour,,,,500
151,2024-08-23,house,rent,,,,,,,,,suburb,,,mansour,,,,
152,2024-08-23,house,rent,,,,,,,,,suburb,,,mansour,,,,
153,2024-08-23,house,rent,,,,,,,,,unknown,,,mansour,,,,
154,2024-08-23,house,rent,,,,,,,,,unknown,,,mansour,,,,
